Time (UTCG),Torque in X (Nm),Torque in Y (Nm),Torque in Z (Nm)
06 Aug 2023 20:15:04,4.43401454868489e-08,5.82092257276137e-08,-2.6150887400994e-09
06 Aug 2023 20:20:04,5.34144228144986e-08,7.22448775078183e-08,-2.97563175202047e-09
06 Aug 2023 20:25:04,2.40660824136021e-08,4.72495577082386e-08,-1.22740502413528e-10
06 Aug 2023 20:30:04,-3.65882997448681e-08,-1.40584607114864e-08,4.97458059087849e-09
06 Aug 2023 20:35:04,-7.01041393332288e-08,-5.2715616386658e-08,7.39394577821259e-09
06 Aug 2023 20:40:04,-6.12972115531853e-08,-4.87525259352095e-08,6.24213913048379e-09
06 Aug 2023 20:45:04,-3.64246042829931e-08,-2.64996643884494e-08,3.90980204001804e-09
06 Aug 2023 20:50:04,-1.0429820297616e-08,-1.17139913423798e-09,1.64383017986231e-09
06 Aug 2023 20:55:04,1.46351112340508e-08,2.48683859968237e-08,-4.07686910317303e-10
06 Aug 2023 21:00:04,3.8687211478206e-08,5.16548194203754e-08,-2.2281602586594e-09
06 Aug 2023 21:05:04,1.3872657218344e-06,-1.67471719466256e-06,6.45952556645331e-08
06 Aug 2023 21:10:04,0,0,0
06 Aug 2023 21:15:04,-8.19745072111013e-08,8.67793497210897e-08,1.69213926446411e-09
06 Aug 2023 21:20:04,-5.11830469653602e-08,9.26901312660212e-08,-2.31154556696663e-09
06 Aug 2023 21:25:04,0,0,0
06 Aug 2023 21:30:04,-1.4555886297731e-06,1.48870856351064e-06,-3.22169680884417e-08
06 Aug 2023 21:35:04,-1.73553790411732e-08,-8.21126661279038e-09,2.23504561776315e-09
06 Aug 2023 21:40:04,7.84741244114179e-09,1.75083922678649e-08,1.36919126144466e-10
06 Aug 2023 21:45:04,3.23671175677164e-08,4.42301280714212e-08,-1.76390056954891e-09
06 Aug 2023 21:50:04,5.15049573904598e-08,6.74743405180944e-08,-3.05002956751679e-09
06 Aug 2023 21:55:04,4.60036499330354e-08,6.71576563270471e-08,-2.15398168785435e-09
06 Aug 2023 22:00:04,-2.86329112653897e-09,2.08010163952942e-08,2.20429316358081e-09
06 Aug 2023 22:05:04,-5.78990396619845e-08,-3.74558713857231e-08,6.61130130919168e-09
06 Aug 2023 22:10:04,-6.97969504251225e-08,-5.48520313681789e-08,7.16434208946894e-09
06 Aug 2023 22:15:04,-5.06196726189172e-08,-3.95394113079246e-08,5.21266917874219e-09
06 Aug 2023 22:20:04,-2.44573217501112e-08,-1.50463783551914e-08,2.84949500698832e-09
06 Aug 2023 22:25:04,1.02672368686381e-09,1.05291776479373e-08,6.89525851109601e-10
06 Aug 2023 22:30:04,2.58496150170745e-08,3.70919872374849e-08,-1.27838988579507e-09
06 Aug 2023 22:35:04,-1.76355030123851e-06,1.76505836756222e-06,6.09408919422893e-08
06 Aug 2023 22:40:04,0,0,0
06 Aug 2023 22:45:04,-9.31457464633355e-08,7.32750259912024e-08,4.02883566928936e-09
06 Aug 2023 22:50:04,-6.90293920284228e-08,9.25872330338186e-08,-2.12560032786788e-10
06 Aug 2023 22:55:04,0,0,0
06 Aug 2023 23:00:04,1.05767457974769e-06,-9.41816656820311e-07,-6.43283412452407e-08
06 Aug 2023 23:05:04,-3.1575276969994e-08,-2.20217899900301e-08,3.47666301138517e-09
06 Aug 2023 23:10:04,-5.79387575915386e-09,3.38859963882214e-09,1.25614767611067e-09
06 Aug 2023 23:15:04,1.91173624922394e-08,2.95560401079554e-08,-7.56134930584556e-10
06 Aug 2023 23:20:04,4.24430883033899e-08,5.59360029262851e-08,-2.48504291257389e-09
06 Aug 2023 23:25:04,5.37346890631866e-08,7.2072172466708e-08,-3.04360381191811e-09
06 Aug 2023 23:30:04,2.86235867729218e-08,5.15482886237132e-08,-5.31261455457518e-10
06 Aug 2023 23:35:04,-3.1308756984135e-08,-8.48235323103725e-09,4.55076646355643e-09
06 Aug 2023 23:40:04,-6.89927726200748e-08,-5.10919452914928e-08,7.34216037328187e-09
06 Aug 2023 23:45:04,-6.3077111955694e-08,-5.01773255276664e-08,6.42296258466368e-09
06 Aug 2023 23:50:04,-3.88022853894535e-08,-2.87229633869013e-08,4.12477834324284e-09
06 Aug 2023 23:55:04,-1.27392804298646e-08,-3.48456764613436e-09,1.83994259655242e-09
07 Aug 2023 00:00:04,1.23486784505649e-08,2.24288234527161e-08,-2.25843452251833e-10
07 Aug 2023 00:05:04,3.66113496035162e-08,4.92524111231698e-08,-2.07850309777756e-09
07 Aug 2023 00:10:04,1.05750763376674e-06,-1.29510015336828e-06,5.85123516611685e-08
07 Aug 2023 00:15:04,0,0,0
07 Aug 2023 00:20:04,-8.31247933683402e-08,8.58374486702316e-08,1.89535831230502e-09
07 Aug 2023 00:25:04,-5.26239521454792e-08,9.29270044203036e-08,-2.15518101035996e-09
07 Aug 2023 00:30:04,0,0,0
07 Aug 2023 00:35:04,-1.22402467459155e-06,1.26780950912338e-06,-3.4404716075964e-08
07 Aug 2023 00:40:04,-1.97145277145453e-08,-1.05338744185314e-08,2.43846211695136e-09
07 Aug 2023 00:45:04,5.56880025134746e-09,1.51197130540479e-08,3.21389736661223e-10
07 Aug 2023 00:50:04,3.01528763296763e-08,4.17397039525569e-08,-1.59863645353892e-09
07 Aug 2023 00:55:04,5.02841649053258e-08,6.58013050545309e-08,-2.98372214146041e-09
07 Aug 2023 01:00:04,4.81802711198344e-08,6.88827531091758e-08,-2.37621338960962e-09
07 Aug 2023 01:05:04,2.89673574450698e-09,2.65523799801782e-08,1.71434673576793e-09
07 Aug 2023 01:10:04,-5.4273379023451e-08,-3.336612393107e-08,6.34189733079761e-09
07 Aug 2023 01:15:04,-7.03842117887095e-08,-5.49741303706384e-08,7.25296669286181e-09
07 Aug 2023 01:20:04,-5.2872482291938e-08,-4.15327945623953e-08,5.42574057817953e-09
07 Aug 2023 01:25:04,-2.68332836770064e-08,-1.73446868000798e-08,3.05797881443961e-09
07 Aug 2023 01:30:04,-1.28102984240959e-09,8.14920048695186e-09,8.79846304067909e-10
07 Aug 2023 01:35:04,2.35807664854539e-08,3.45910663839296e-08,-1.10454106581717e-09
07 Aug 2023 01:40:04,-2.55550603085027e-06,2.60020661599084e-06,7.67450937028711e-08
07 Aug 2023 01:45:04,0,0,0
07 Aug 2023 01:50:04,-9.52655099897563e-08,6.71995621693146e-08,4.78750157942352e-09
07 Aug 2023 01:55:04,-6.80614682573636e-08,9.27470576144998e-08,-3.34483202707743e-10
07 Aug 2023 02:00:04,0,0,0
07 Aug 2023 02:05:04,1.64726794933478e-06,-1.51139501623215e-06,-7.67026882770156e-08
07 Aug 2023 02:10:04,-3.40110186153093e-08,-2.43325084442901e-08,3.6938688325417e-09
07 Aug 2023 02:15:04,-8.12762618808925e-09,1.02467590068857e-09,1.4519034550915e-09
07 Aug 2023 02:20:04,1.68156475026668e-08,2.7071001317372e-08,-5.75758922300003e-10
07 Aug 2023 02:25:04,4.0481576797056e-08,5.36118837335255e-08,-2.34839854964363e-09
07 Aug 2023 02:30:04,5.37368254627298e-08,7.15782164099542e-08,-3.08480881592666e-09
07 Aug 2023 02:35:04,3.28838197529007e-08,5.55070570874917e-08,-9.18065272197142e-10
07 Aug 2023 02:40:04,-2.57285994687286e-08,-2.64279983849901e-09,4.09832955538823e-09
07 Aug 2023 02:45:04,-6.75074139498063e-08,-4.90837099120175e-08,7.25947821529298e-09
07 Aug 2023 02:50:04,-6.47648375501295e-08,-5.14859546694869e-08,6.59794689523961e-09
07 Aug 2023 02:55:04,-4.12314803754406e-08,-3.0980850433517e-08,4.34553611460649e-09
07 Aug 2023 03:00:04,-1.51081052891342e-08,-5.84668722152836e-09,2.04196182906502e-09
07 Aug 2023 03:05:04,1.00191090756543e-08,1.99558349499144e-08,-3.95321275679572e-11
07 Aug 2023 03:10:04,3.44323999431058e-08,4.67541782214129e-08,-1.91948142592606e-09
07 Aug 2023 03:15:04,2.70507504083523e-07,-4.22241778462944e-07,5.07045648325725e-08
07 Aug 2023 03:20:04,0,0,0
07 Aug 2023 03:25:04,-8.7993994524901e-08,8.11051503815744e-08,2.81411200384088e-09
07 Aug 2023 03:30:04,2.42201882041081e-06,-3.6414370922732e-06,-4.3447469326294e-07
07 Aug 2023 03:35:04,0,0,0
07 Aug 2023 03:40:04,-5.70085063976727e-07,6.33326902455891e-07,-3.89407570979555e-08
07 Aug 2023 03:45:04,-2.21060743523194e-08,-1.28742858340791e-08,2.64583233359959e-09
07 Aug 2023 03:50:04,3.24379700747178e-09,1.26956748870771e-08,5.10713231573941e-10
07 Aug 2023 03:55:04,2.79056451874097e-08,3.92281203592383e-08,-1.42959236738021e-09
07 Aug 2023 04:00:04,4.89056118232395e-08,6.3978272510803e-08,-2.90337215540383e-09
07 Aug 2023 04:05:04,5.0008054216444e-08,7.02394277338054e-08,-2.57043360591977e-09
07 Aug 2023 04:10:04,8.62347596677225e-09,3.22215678809335e-08,1.22317556687831e-09
07 Aug 2023 04:15:04,-5.02276734145842e-08,-2.88677835532075e-08,6.03585725611613e-09
07 Aug 2023 04:20:04,-7.0708681041961e-08,-5.48106888960619e-08,7.32115275587875e-09
07 Aug 2023 04:25:04,-5.51030068508979e-08,-4.34806567244766e-08,5.63884683450041e-09
07 Aug 2023 04:30:04,-2.92690452984693e-08,-1.96872392379538e-08,3.27283261874494e-09
07 Aug 2023 04:35:04,-3.60613601956644e-09,5.76467128391171e-09,1.07269802406395e-09
07 Aug 2023 04:40:04,2.12669179550093e-08,3.20580117811249e-08,-9.25806353237303e-10
07 Aug 2023 04:45:04,-3.48860999382157e-06,3.56660879128044e-06,1.00877178055891e-07
07 Aug 2023 04:50:04,-2.79279933703886e-05,-7.3329939252898e-05,-3.38043090392161e-06
07 Aug 2023 04:55:04,4.48982946617467e-05,6.19036151347115e-05,5.37138700517157e-06
07 Aug 2023 05:00:04,-7.42983720755544e-08,9.08122328718958e-08,5.21914963423601e-10
07 Aug 2023 05:05:04,-6.89297089822709e-05,-3.33391969728023e-05,-3.84924185365839e-06
07 Aug 2023 05:10:04,7.8373496992033e-05,1.6599685597651e-05,1.06120570891133e-06
07 Aug 2023 05:15:04,-3.64483751788841e-08,-2.66277953811819e-08,3.91261084337529e-09
07 Aug 2023 05:20:04,-1.04842207410702e-08,-1.34933363596678e-09,1.65065192013559e-09
07 Aug 2023 05:25:04,1.44970493572121e-08,2.45821583149897e-08,-3.92867658080259e-10
07 Aug 2023 05:30:04,3.84285925039302e-08,5.12103494785932e-08,-2.20282048512421e-09
07 Aug 2023 05:35:04,5.34618899542003e-08,7.0807433268708e-08,-3.1024572817253e-09
07 Aug 2023 05:40:04,3.67752432896163e-08,5.90562413458332e-08,-1.27691419454896e-09
07 Aug 2023 05:45:04,-1.9919401559708e-08,3.37973601638523e-09,3.62261604061366e-09
07 Aug 2023 05:50:04,-6.55853108696679e-08,-4.66366041499401e-08,7.13986861025073e-09
07 Aug 2023 05:55:04,-6.62898202775211e-08,-5.26090443908373e-08,6.76099748888978e-09
07 Aug 2023 06:00:04,-4.36375258112325e-08,-3.31955067308445e-08,4.56599132159031e-09
07 Aug 2023 06:05:04,-1.74773571355841e-08,-8.19301416091661e-09,2.24535709965283e-09
07 Aug 2023 06:10:04,7.70454547841469e-09,1.75133926505003e-08,1.4678477618897e-10
07 Aug 2023 06:15:04,3.22372921749982e-08,4.42600837185596e-08,-1.75741323093751e-09
07 Aug 2023 06:20:04,-4.38533978256818e-07,3.47178631294133e-07,4.96047424292014e-08
07 Aug 2023 06:25:04,0,0,0
07 Aug 2023 06:30:04,-8.75789264138303e-08,8.14984347930241e-08,2.73750367242057e-09
07 Aug 2023 06:35:04,-5.88665080333303e-08,9.34836286574091e-08,-1.4542817362319e-09
07 Aug 2023 06:40:04,0,0,0
07 Aug 2023 06:45:04,-1.86596459422179e-08,9.59608121507095e-08,-4.50793988349335e-08
07 Aug 2023 06:50:04,-2.45245654024309e-08,-1.52267214150161e-08,2.85672025087818e-09
07 Aug 2023 06:55:04,9.07431230379228e-10,1.02744841411436e-08,7.02176199087786e-10
07 Aug 2023 07:00:04,2.5633675273331e-08,3.67082714763585e-08,-1.25708398929475e-09
07 Aug 2023 07:05:04,4.73646530320504e-08,6.20075924061413e-08,-2.80800466821889e-09
07 Aug 2023 07:10:04,5.14175619563419e-08,7.1164067136814e-08,-2.7302598872829e-09
07 Aug 2023 07:15:04,1.41420340153935e-08,3.76257616918919e-08,7.44983615213084e-10
07 Aug 2023 07:20:04,-4.5760471593582e-08,-2.39809905528274e-08,5.69126824896764e-09
07 Aug 2023 07:25:04,-7.0703483002761e-08,-5.43046280384846e-08,7.36240618623798e-09
07 Aug 2023 07:30:04,-5.72494162739196e-08,-4.53233739613122e-08,5.84655103944279e-09
07 Aug 2023 07:35:04,-3.17046245798662e-08,-2.20127026213836e-08,3.4890697224986e-09
07 Aug 2023 07:40:04,-5.97559889263636e-09,3.35009265725664e-09,1.27049918575888e-09
07 Aug 2023 07:45:04,1.8948850577469e-08,2.95383965885207e-08,-7.45258694732563e-10
07 Aug 2023 07:50:04,4.23240000627829e-08,5.59799741403717e-08,-2.48080457277738e-09
07 Aug 2023 07:55:04,2.52966768796296e-06,-2.96593949831759e-06,8.9951610320174e-08
07 Aug 2023 08:00:04,0,0,0
07 Aug 2023 08:05:04,-7.51785466203149e-08,9.03909171536881e-08,6.54281578480556e-10
07 Aug 2023 08:10:04,-4.43483982311298e-08,9.05032813898144e-08,-2.98723797772413e-09
07 Aug 2023 08:15:04,0,0,0
07 Aug 2023 08:20:04,-2.38422902784458e-06,2.3998560254922e-06,-3.36591637685494e-08
07 Aug 2023 08:25:04,-1.28441039386199e-08,-3.71247984886978e-09,1.85084704272226e-09
07 Aug 2023 08:30:04,1.2178358809408e-08,2.21087066569928e-08,-2.08688197050993e-10
07 Aug 2023 08:35:04,3.62992869339397e-08,4.87485776808892e-08,-2.04942775195227e-09
07 Aug 2023 08:40:04,5.28992192082586e-08,6.97540124754718e-08,-3.09524068601584e-09
07 Aug 2023 08:45:04,4.02585929373394e-08,6.21591806710465e-08,-1.6042583134392e-09
07 Aug 2023 08:50:04,-1.40017528189224e-08,9.45388677818945e-09,3.13297828013894e-09
07 Aug 2023 08:55:04,-6.3200002464312e-08,-4.3732508551184e-08,6.98038978412609e-09
07 Aug 2023 09:00:04,-6.75968069797625e-08,-5.34929092506541e-08,6.90728764899619e-09
07 Aug 2023 09:05:04,-4.60471223968004e-08,-3.53945758527306e-08,4.78833477679342e-09
07 Aug 2023 09:10:04,-1.98854493509991e-08,-1.05636582538162e-08,2.45325283623936e-09
07 Aug 2023 09:15:04,5.36954134952998e-09,1.50651211856523e-08,3.36042567892483e-10
07 Aug 2023 09:20:04,2.99964531529711e-08,4.17367125319565e-08,-1.59010149206644e-09
07 Aug 2023 09:25:04,-6.25852135763756e-07,5.55072860620895e-07,4.9029363445399e-08
07 Aug 2023 09:30:04,0,0,0
07 Aug 2023 09:35:04,-8.89473914345103e-08,7.97670567019462e-08,3.03057966565629e-09
07 Aug 2023 09:40:04,-6.11135349057422e-08,9.3437645088497e-08,-1.18729622271103e-09
07 Aug 2023 09:45:04,0,0,0
07 Aug 2023 09:50:04,1.46440307998069e-07,-5.89179904885651e-08,-4.89079897916652e-08
07 Aug 2023 09:55:04,-2.69500651058733e-08,-1.75707995199481e-08,3.06946804515228e-09
07 Aug 2023 10:00:04,-1.43013914854599e-09,7.86610199972501e-09,8.94898993001714e-10
07 Aug 2023 10:05:04,2.33277585038714e-08,3.41702013074296e-08,-1.08039018559512e-09
07 Aug 2023 10:10:04,4.56601154016646e-08,5.98859642559829e-08,-2.69769540365886e-09
07 Aug 2023 10:15:04,5.24451001207026e-08,7.16934933327611e-08,-2.85873484399339e-09
07 Aug 2023 10:20:04,1.94215171629597e-08,4.27355957982926e-08,2.82521209968698e-10
07 Aug 2023 10:25:04,-4.09226262935038e-08,-1.87576921296858e-08,5.31235951042543e-09
07 Aug 2023 10:30:04,-7.03168207365842e-08,-5.34036447345771e-08,7.37236610762398e-09
07 Aug 2023 10:35:04,-5.93019030794341e-08,-4.70487527781632e-08,6.04821672932651e-09
07 Aug 2023 10:40:04,-3.41630712819728e-08,-2.4343180661386e-08,3.70872717793279e-09
07 Aug 2023 10:45:04,-8.33360979371361e-09,9.62071561989683e-10,1.46857266500349e-09
07 Aug 2023 10:50:04,1.66104703089847e-08,2.70135334975365e-08,-5.617435834588e-10
07 Aug 2023 10:55:04,4.03248934493729e-08,5.36120783005046e-08,-2.34115367829461e-09
07 Aug 2023 11:00:04,2.64748394659483e-06,-3.06759606100362e-06,9.16667873830274e-08
07 Aug 2023 11:05:04,0,0,0
07 Aug 2023 11:10:04,-7.93634591255376e-08,8.818751061668e-08,1.29527285191631e-09
07 Aug 2023 11:15:04,-4.88152646379502e-08,9.19282499444804e-08,-2.54107262175327e-09
07 Aug 2023 11:20:04,0,0,0
07 Aug 2023 11:25:04,-2.73147708258321e-06,2.75200876112528e-06,-3.91750218990735e-08
07 Aug 2023 11:30:04,-1.52484709687769e-08,-6.10703553099385e-09,2.05590042704039e-09
07 Aug 2023 11:35:04,9.8328828149883e-09,1.96208039196919e-08,-2.12128293894381e-11
07 Aug 2023 11:40:04,3.41200237447575e-08,4.62520311470323e-08,-1.89053543149281e-09
07 Aug 2023 11:45:04,5.20658904365847e-08,6.84343439536659e-08,-3.06466647152286e-09
07 Aug 2023 11:50:04,4.33247085466511e-08,6.48091048997325e-08,-1.89912094666057e-09
07 Aug 2023 11:55:04,-8.01268437304281e-09,1.55409223249409e-08,2.63242194847402e-09
07 Aug 2023 12:00:04,-6.02921676226624e-08,-4.03131284074343e-08,6.77591523520555e-09
07 Aug 2023 12:05:04,-6.86738008962109e-08,-5.41228252287719e-08,7.03602425629209e-09
07 Aug 2023 12:10:04,-4.84319351673981e-08,-3.75464647323636e-08,5.01042809883715e-09
07 Aug 2023 12:15:04,-2.23299507490448e-08,-1.29547529953939e-08,2.66556135041622e-09
07 Aug 2023 12:20:04,2.99753719986598e-09,1.25930797723991e-08,5.2953550536647e-10
07 Aug 2023 12:25:04,2.7704796033011e-08,3.91759529619561e-08,-1.4173623996229e-09
07 Aug 2023 12:30:04,-5.2940072100375e-07,4.62310167653945e-07,4.66892166741535e-08
07 Aug 2023 12:35:04,0,0,0
07 Aug 2023 12:40:04,-9.10211139341243e-08,7.66820808605382e-08,3.51485317081564e-09
07 Aug 2023 12:45:04,-6.48643622048127e-08,9.30929814377194e-08,-7.25491320942162e-10
07 Aug 2023 12:50:04,0,0,0
07 Aug 2023 12:55:04,1.00377571092405e-07,-3.75816109872388e-09,-5.09049556345765e-08
07 Aug 2023 13:00:04,-2.9426833134572e-08,-1.99500774701647e-08,3.28789431060755e-09
07 Aug 2023 13:05:04,-3.81534800991209e-09,5.42217408812699e-09,1.09266847754633e-09
07 Aug 2023 13:10:04,2.09825308370731e-08,3.16052359454648e-08,-8.99329585346623e-10
07 Aug 2023 13:15:04,4.38086160021695e-08,5.76284047562622e-08,-2.57398874800497e-09
07 Aug 2023 13:20:04,5.30746825450483e-08,7.18102192066084e-08,-2.95462284908266e-09
07 Aug 2023 13:25:04,2.44316024638346e-08,4.75157238587906e-08,-1.62049564885942e-10
07 Aug 2023 13:30:04,-3.56332456968165e-08,-1.31207592999347e-08,4.89194580561018e-09
07 Aug 2023 13:35:04,-6.95163871056105e-08,-5.20735424697805e-08,7.34844571330656e-09
07 Aug 2023 13:40:04,-6.12776456704331e-08,-4.8672145234884e-08,6.24545785181133e-09
07 Aug 2023 13:45:04,-3.66673292088065e-08,-2.67020453159863e-08,3.93372245354542e-09
07 Aug 2023 13:50:04,-1.07464406641197e-08,-1.46875904172432e-09,1.67229825824112e-09
07 Aug 2023 13:55:04,1.42435125268593e-08,2.44721489200088e-08,-3.74804381868615e-10
07 Aug 2023 14:00:04,3.82017454128429e-08,5.11309550103956e-08,-2.19006422996199e-09
